Samples,Test,Units,Score,SD,Model,Multiplier,socket,foundry,process_size,transistors,die_size,package,market,production_status,release_date,launch_price,part#,frequency,turbo_clock,base_clock,multiplier,multiplier_unlocked,tdp,codename,generation,memory_support,rated_speed,memory_bus,memory_bandwidth,ecc_memory,pci-express,#_of_cores,#_of_threads,smp_#_cpus,integrated_graphics,cache_l1,cache_l2,cache_l3
5.0,FinanceBench,ms (Average),33535,23,AMD EPYC 4464P,1,AMD Socket AM5,TSMC,5 nm,"13,140 million",2x 71 mm²,FC-LGA1718,Server/Workstation,Active,"May 21st, 2024",$429,100-000001478,3.7 GHz,up to 5.4 GHz,100 MHz,37.0x,No,65 W,Raphael,EPYC  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 28 Lanes (CPU only)",12,24,1,Radeon Graphics,64 KB (per core),1 MB (per core),64 MB (shared)
7.0,FinanceBench,ms (Average),33971,76,AMD EPYC 4584PX,1,AMD Socket AM5,TSMC,5 nm,"17,840 million",2x 71 mm²,FC-LGA1718,Server/Workstation,Active,"May 21st, 2024",$699,100-000001481,4.2 GHz,up to 5.7 GHz,100 MHz,42.0x,No,120 W,Raphael,EPYC  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 28 Lanes (CPU only)",16,32,1,Radeon Graphics,64 KB (per core),1 MB (per core),128 MB (shared)
7.0,FinanceBench,ms (Average),35556,2142,AMD EPYC 4484PX,1,AMD Socket AM5,TSMC,5 nm,"17,840 million",2x 71 mm²,FC-LGA1718,Server/Workstation,Active,"May 21st, 2024",$599,100-000001482,4.4 GHz,up to 5.6 GHz,100 MHz,44.0x,No,120 W,Raphael,EPYC  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 28 Lanes (CPU only)",12,24,1,Radeon Graphics,64 KB (per core),1 MB (per core),128 MB (shared)
32.0,FinanceBench,ms (Average),40435,849,AMD Ryzen 9 5900X,1,AMD Socket AM4,TSMC,7 nm,"8,300 million",2x 74 mm²,µOPGA-1331,Desktop,Active,"Nov 5th, 2020",$549,100-000000061,3.7 GHz,up to 4.8 GHz,100 MHz,37.0x,Yes,105 W,Vermeer,Ryzen 9  (Zen 3 (Vermeer)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,Gen 4,12.0,24.0,1.0,,64 KB (per core),512 KB (per core),64 MB
6.0,FinanceBench,ms (Average),40510,194,AMD Ryzen 5 7600X,1,AMD Socket AM5,TSMC,5 nm,"6,570 million",71 mm²,FC-LGA1718,Desktop,Active,"Sep 27th, 2022",$299,100-000000593,4.7 GHz,up to 5.3 GHz,100 MHz,47.0x,Yes,105 W,Raphael,Ryzen 5  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 24 Lanes (CPU only)",6,12,1,Radeon Graphics,64 KB (per core),1 MB (per core),32 MB (shared)
18.0,FinanceBench,ms (Average),40832,1415,Intel Core i9-11900K,1,Intel Socket 1200,Intel,14 nm,,276 mm²,FC-LGA14A,Desktop,End-of-life,"Mar 16th, 2021",$539,SRKND,3.5 GHz,up to 5.3 GHz,100 MHz,35.0x,Yes,125 W,Rocket Lake,Core i9  (Rocket Lake-S),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,No,"Gen 4, 20 Lanes (CPU only)",8,16,1,UHD Graphics 750,80 KB (per core),512 KB (per core),16 MB (shared)
50.0,FinanceBench,ms (Average),41062,3421,AMD Ryzen 9 5950X,1,AMD Socket AM4,TSMC,7 nm,"8,300 million",2x 74 mm²,µOPGA-1331,Desktop,Active,"Nov 5th, 2020",$799,100-000000059,3.4 GHz,up to 4.9 GHz,100 MHz,34.0x,Yes,105 W,Vermeer,Ryzen 9  (Zen 3 (Vermeer)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,"Gen 4, 20 Lanes (CPU only)",16.0,32.0,1.0,,64 KB (per core),512 KB (per core),64 MB
22.0,FinanceBench,ms (Average),41132,2609,AMD Ryzen 7 5800X,1,AMD Socket AM4,TSMC,7 nm,"4,150 million",74 mm²,µOPGA-1331,Desktop,Active,"Nov 5th, 2020",$449,100-000000063,3.8 GHz,up to 4.7 GHz,100 MHz,38.0x,Yes,105 W,Vermeer,Ryzen 7  (Zen 3 (Vermeer)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,"Gen 4, 20 Lanes (CPU only)",8.0,16.0,1.0,,64 KB (per core),512 KB (per core),32 MB
15.0,FinanceBench,ms (Average),41672,287,AMD Ryzen 7 5800X3D,1,AMD Socket AM4,TSMC,7 nm,"8,850 million",74 mm²,µOPGA-1331,Desktop,End-of-life,"Apr 20th, 2022",$449,100-000000651,3.4 GHz,up to 4.5 GHz,100 MHz,34.0x,No,105 W,Vermeer,Ryzen 7  (Zen 3 (Vermeer)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,Yes,"Gen 4, 20 Lanes (CPU only)",8.0,16.0,1.0,,64 KB (per core),512 KB (per core),96 MB (shared)
12.0,FinanceBench,ms (Average),43934,591,Intel Core i9-10900K,1,Intel Socket 1200,Intel,14 nm,,206 mm²,FC-LGA1200,Desktop,End-of-life,"Apr 30th, 2020",$547,SRH91,3.7 GHz,up to 5.3 GHz,100 MHz,37.0x,Yes,125 W,Comet Lake,Core i9  (Comet Lake),DDR4,2933 MT/s,Dual-channel,46.9 GB/s,No,"Gen 3, 16 Lanes (CPU only)",10,20,1,UHD Graphics 630,64 KB (per core),256 KB (per core),20 MB (shared)
8.0,FinanceBench,ms (Average),46643,2123,Intel Core i5-13600K,1,Intel Socket 1700,Intel,10 nm,,257 mm²,FC-LGA16A,Desktop,Active,"Sep 27th, 2022",$319,SRMBD,3.5 GHz,up to 5.1 GHz,100 MHz,35.0x,Yes,125 W,Raptor Lake-S,Core i5  (Raptor Lake),"DDR4, DDR5",,Dual-channel,,Yes,"Gen 5, 16 Lanes (CPU only)",14,20,1,UHD Graphics 770,80 KB (per core),2 MB (per core),24 MB (shared)
5.0,FinanceBench,ms (Average),46994,187,AMD EPYC 4124P,1,AMD Socket AM5,TSMC,5 nm,"6,570 million",71 mm²,FC-LGA1718,Server/Workstation,Active,"May 21st, 2024",$149,100-000001570,3.8 GHz,up to 5.1 GHz,100 MHz,38.0x,No,65 W,Raphael,EPYC  (Zen 4 (Raphael)),DDR5,5200 MT/s,Dual-channel,83.2 GB/s,Yes,"Gen 5, 28 Lanes (CPU only)",4,8,1,Radeon Graphics,64 KB (per core),1 MB (per core),32 MB (shared)
5.0,FinanceBench,ms (Average),47100,69,AMD Ryzen Threadripper 3970X,1,AMD Socket TRX4,TSMC,7 nm,"15,200 million",4x 74 mm²,sTRX4,Desktop,Active,"Nov 25th, 2019",$1999,100-000000011 100-100000011WOF,3.7 GHz,up to 4.5 GHz,100 MHz,37.0x,Yes,280 W,Castle Peak,Ryzen Threadripper  (Zen 2 (Castle Peak)),DDR4,3200 MT/s,Quad-channel,102.4 GB/s,No,Gen 4,32.0,64.0,1.0,,64 KB (per core),512 KB (per core),128 MB
8.0,FinanceBench,ms (Average),48774,500,AMD Ryzen Threadripper 3990X,1,AMD Socket TRX4,TSMC,7 nm,"30,400 million",8x 74 mm²,sTRX4,Desktop,Active,"Feb 7th, 2020",$3990,100-000000163 100-100000163WOF,2.9 GHz,up to 4.3 GHz,100 MHz,29.0x,Yes,280 W,Castle Peak,Ryzen Threadripper  (Zen 2 (Castle Peak)),DDR4,3200 MT/s,Quad-channel,102.4 GB/s,No,"Gen 4, 64 Lanes (CPU only)",64.0,128.0,1.0,,64 KB (per core),512 KB (per core),256 MB
4.0,FinanceBench,ms (Average),48927,109,AMD Ryzen 9 3900XT,1,AMD Socket AM4,TSMC,7 nm,"7,600 million",2x 74 mm²,µOPGA-1331,Desktop,Active,"Jul 7th, 2020",$499,100-100000277WOF,3.9 GHz,up to 4.7 GHz,100 MHz,39.0x,Yes,105 W,Matisse 2,Ryzen 9  (Zen 2 (Matisse)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,No,"Gen 4, 24 Lanes (CPU only)",12.0,24.0,1.0,,64 KB (per core),512 KB (per core),64 MB
11.0,FinanceBench,ms (Average),51155,7490,Intel Core i5-12600K,1,Intel Socket 1700,Intel,10 nm,,215 mm²,FC-LGA16A,Desktop,Active,"Nov 4th, 2021",$289,SRL4T,3.7 GHz,up to 4.9 GHz,100 MHz,37.0x,Yes,125 W,Alder Lake-S,Core i5  (Alder Lake-S),"DDR4, DDR5",,Dual-channel,,No,"Gen 4, 20 Lanes (CPU only)",10,16,1,UHD Graphics 770,80 KB (per core),1.25 MB (per core),20 MB (shared)
3.0,FinanceBench,ms (Average),52528,517,Intel Core i7-7900X,1,Intel Socket 2066,Intel,14 nm,,,FC-LGA2066,Desktop,End-of-life,"Jun 26th, 2017",$383,SR3L4,3.5 GHz,up to 4 GHz,100 MHz,35.0x,Yes,140 W,Skylake-X,Core i7  (X-Series 7th Gen),DDR4,2400 MT/s,Quad-channel,76.8 GB/s,No,"Gen 3, 28 Lanes (CPU only)",6.0,12.0,1.0,,64 KB (per core),1 MB (per core),8.25 MB (shared)
5.0,FinanceBench,ms (Average),53680,1519,Intel Core i5-11600K,1,Intel Socket 1200,Intel,14 nm,,276 mm²,FC-LGA14A,Desktop,End-of-life,"Mar 16th, 2021",$262,SRKNU,3.9 GHz,up to 4.9 GHz,100 MHz,39.0x,Yes,125 W,Rocket Lake,Core i5  (Rocket Lake-S),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,No,"Gen 4, 20 Lanes (CPU only)",6,12,1,UHD Graphics 750,80 KB (per core),256 KB (per core),12 MB (shared)
5.0,FinanceBench,ms (Average),55718,104,Intel Core i9-7980XE,1,Intel Socket 2066,Intel,14 nm,,484 mm²,FC-LGA2066,Desktop,End-of-life,"Sep 1st, 2017",$1999,SR3RS,2.6 GHz,up to 4.4 GHz,100 MHz,26.0x,Yes,165 W,Skylake-X,Core i9 Extreme  (X-Series 7th Gen),DDR4,2666 MT/s,Quad-channel,85.3 GB/s,No,"Gen 3, 44 Lanes (CPU only)",18.0,36.0,1.0,,64 KB (per core),1 MB (per core),24.75 MB (shared)
4.0,FinanceBench,ms (Average),55937,597,Intel Core i5-13400,1,Intel Socket 1700,Intel,10 nm,,215 mm²,FC-LGA16A,Desktop,Active,"Jan 4th, 2023",$221,SRMBF SRMBP,2.5 GHz,up to 4.6 GHz,100 MHz,25.0x,No,65 W,Raptor Lake-S,Core i5  (Raptor Lake),"DDR4, DDR5",,Dual-channel,,No,"Gen 5, 16 Lanes (CPU only)",10,16,1,UHD Graphics 730,80 KB (per core),1.25 MB (per core),20 MB (shared)
6.0,FinanceBench,ms (Average),56805,234,AMD Ryzen 7 PRO 5850U,1,AMD Socket FP6,TSMC,7 nm,"10,700 million",180 mm²,FC-BGA1140,Mobile,Active,"Mar 16th, 2021",,100-000000289,1900 MHz,up to 4.4 GHz,100 MHz,19.0x,No,15 W,Cezanne-U,Ryzen 7  (Zen 3 (Cezanne)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,No,"Gen 3, 8 Lanes (CPU only)",8,16,1,Radeon Vega 8,64 KB (per core),512 KB (per core),16 MB (shared)
4.0,FinanceBench,ms (Average),57608,1174,AMD Ryzen Threadripper 2990WX,1,AMD Socket SP3r2,GlobalFoundries,12 nm,"19,200 million",4x 213 mm²,sTR4,Desktop,Active,"Aug 13th, 2018",$1799,YD299XAZUIHAF,3 GHz,up to 4.2 GHz,100 MHz,30.0x,Yes,250 W,Colfax,Ryzen Threadripper  (Zen+ (Colfax)),DDR4,2933 MT/s,Quad-channel,93.9 GB/s,No,"Gen 3, 60 Lanes (CPU only)",32.0,64.0,1.0,,96 KB (per core),512 KB (per core),64 MB
5.0,FinanceBench,ms (Average),60063,6313,AMD Ryzen 7 PRO 6850U,1,AMD Socket FP7,TSMC,6 nm,,208 mm²,"FP7, FP7r2",Mobile,Active,"Apr 19th, 2022",,100-000000538 100-000000550,2.7 GHz,up to 4.7 GHz,100 MHz,27.0x,No,15 W,Rembrandt,Ryzen 7  (Zen 3+ (Rembrandt)),DDR5,4800 MT/s,Dual-channel,76.8 GB/s,No,"Gen 4, 20 Lanes (CPU only)",8,16,1,Radeon 680M,64 KB (per core),512 KB (per core),16 MB (shared)
4.0,FinanceBench,ms (Average),64941,742,AMD Ryzen 5 3600XT,1,AMD Socket AM4,TSMC,7 nm,"3,800 million",74 mm²,µOPGA-1331,Desktop,Active,"Jul 7th, 2019",$249,100-100000281,3.8 GHz,up to 4.5 GHz,100 MHz,38.0x,Yes,95 W,Matisse 2,Ryzen 5  (Zen 2 (Matisse)),DDR4,3200 MT/s,Dual-channel,51.2 GB/s,No,Gen 4,6.0,12.0,1.0,,64 KB (per core),512 KB (per core),32 MB (shared)
4.0,FinanceBench,ms (Average),67370,441,AMD EPYC 73F3,1,AMD Socket SP3,TSMC,7 nm,"33,200 million",8x 81 mm²,FCLGA-4094,Server/Workstation,Active,"Mar 15th, 2021",$3521,100-000000321 100-100000321WOF,3.5 GHz,up to 4 GHz,100 MHz,35.0x,No,240 W,Milan,EPYC  (Zen 3 (Milan)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 128 Lanes (CPU only)",16.0,32.0,2.0,,64 KB (per core),512 KB (per core),256 MB (shared)
7.0,FinanceBench,ms (Average),68414,1118,AMD EPYC 75F3,1,AMD Socket SP3,TSMC,7 nm,"33,200 million",8x 81 mm²,FCLGA-4094,Server/Workstation,Active,"Mar 15th, 2021",$4860,100-000000313 100-100000313WOF,2.95 GHz,up to 4 GHz,100 MHz,29.5x,No,280 W,Milan,EPYC  (Zen 3 (Milan)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 128 Lanes (CPU only)",32.0,64.0,2.0,,64 KB (per core),512 KB (per core),256 MB (shared)
3.0,FinanceBench,ms (Average),68788,65,AMD Ryzen Threadripper 3960X,1,AMD Socket TRX4,TSMC,7 nm,"15,200 million",4x 74 mm²,sTRX4,Desktop,Active,"Nov 25th, 2019",$1399,100-000000010 100-100000010WOF,3.8 GHz,up to 4.5 GHz,100 MHz,38.0x,Yes,280 W,Castle Peak,Ryzen Threadripper  (Zen 2 (Castle Peak)),DDR4,3200 MT/s,Quad-channel,102.4 GB/s,No,Gen 4,24.0,48.0,1.0,,64 KB (per core),512 KB (per core),128 MB
4.0,FinanceBench,ms (Average),69774,161,AMD EPYC 74F3,1,AMD Socket SP3,TSMC,7 nm,"33,200 million",4x 81 mm²,FCLGA-4094,Server/Workstation,Active,"Mar 15th, 2021",$2900,100-000000317 100-100000317WOF,2.8 GHz,up to 4 GHz,100 MHz,28.0x,No,240 W,Milan,EPYC  (Zen 3 (Milan)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 128 Lanes (CPU only)",24.0,48.0,2.0,,64 KB (per core),512 KB (per core),256 MB (shared)
4.0,FinanceBench,ms (Average),69937,124,AMD EPYC 73F3,2,AMD Socket SP3,TSMC,7 nm,"33,200 million",8x 81 mm²,FCLGA-4094,Server/Workstation,Active,"Mar 15th, 2021",$3521,100-000000321 100-100000321WOF,3.5 GHz,up to 4 GHz,100 MHz,35.0x,No,240 W,Milan,EPYC  (Zen 3 (Milan)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 128 Lanes (CPU only)",16.0,32.0,2.0,,64 KB (per core),512 KB (per core),256 MB (shared)
4.0,FinanceBench,ms (Average),70943,317,Intel Xeon E-2278GEL,1,Intel Socket 1151,Intel,14 nm,,180 mm²,FC-LGA1151,Server/Workstation,End-of-life,"Jun 11th, 2019",$519,SRGE2,2000 MHz,up to 3.9 GHz,100 MHz,20.0x,No,35 W,Coffee Lake-S WS,Xeon E  (Coffee Lake),DDR4,2666 MT/s,Dual-channel,42.7 GB/s,Yes,"Gen 3, 16 Lanes (CPU only)",8,16,1,UHD Graphics P630,64 KB (per core),256 KB (per core),16 MB (shared)
6.0,FinanceBench,ms (Average),71314,151,AMD Ryzen 7 1700 Eight-Core,1,AMD Socket AM4,GlobalFoundries,14 nm,"4,800 million",213 mm²,µOPGA-1331,Desktop,Active,"Mar 2nd, 2017",$329,YD1700BBAEBOX,3 GHz,up to 3.7 GHz,100 MHz,30.0x,Yes,65 W,Zen,Ryzen 7  (Zen (Summit Ridge)),DDR4,2666 MT/s,Dual-channel,42.7 GB/s,Yes,"Gen 3, 16 Lanes (CPU only)",8.0,16.0,1.0,,96 KB (per core),512 KB (per core),16 MB (shared)
6.0,FinanceBench,ms (Average),72643,8736,AMD EPYC 7713,1,AMD Socket SP3,TSMC,7 nm,"33,200 million",8x 81 mm²,FCLGA-4094,Server/Workstation,Active,"Mar 15th, 2021",$7060,100-000000344 100-000000344WOF,2000 MHz,up to 3.675 GHz,100 MHz,20.0x,No,225 W,Milan,EPYC  (Zen 3 (Milan)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 128 Lanes (CPU only)",64.0,128.0,2.0,,64 KB (per core),512 KB (per core),256 MB (shared)
3.0,FinanceBench,ms (Average),73862,367,Intel Core i9-9900KS,1,Intel Socket 1151,Intel,14 nm,,180 mm²,FC-LGA14C,Desktop,End-of-life,"Oct 28th, 2019",$513,SRG1Q,4 GHz,up to 5 GHz,100 MHz,40.0x,Yes,127 W,Coffee Lake-R,Core i9  (Coffee Lake Refresh),DDR4,2666 MT/s,Dual-channel,42.7 GB/s,No,"Gen 3, 16 Lanes (CPU only)",8,16,1,UHD 630,64 KB (per core),256 KB (per core),16 MB (shared)
7.0,FinanceBench,ms (Average),76154,923,AMD EPYC 7F52,1,AMD Socket SP3,TSMC,7 nm,"3,800 million",74 mm²,FCLGA-4094,Server/Workstation,Active,"Apr 14th, 2020",,100-000000140 100-000000140WOF,3.5 GHz,up to 3.9 GHz,100 MHz,35.0x,No,240 W,Rome,EPYC  (Zen 2 (Rome)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,Gen 4,16.0,32.0,2.0,,96 KB (per core),512 KB (per core),256 MB (shared)
3.0,FinanceBench,ms (Average),77199,87,Intel Core i9-9900K,1,Intel Socket 1151,Intel,14 nm,,180.3 mm²,FC-LGA14C,Desktop,End-of-life,"Oct 19th, 2018",$488,SRG19 SRELS,3.6 GHz,up to 5 GHz,100 MHz,36.0x,Yes,95 W,Coffee Lake-R,Core i9  (Coffee Lake Refresh),DDR4,2666 MT/s,Dual-channel,42.7 GB/s,No,"Gen 3, 16 Lanes (CPU only)",8,16,1,UHD Graphics 630,64 KB (per core),256 KB (per core),16 MB (shared)
4.0,FinanceBench,ms (Average),77915,388,AMD EPYC 7513,2,AMD Socket SP3,TSMC,7 nm,"33,200 million",8x 81 mm²,FCLGA-4094,Server/Workstation,Active,"Mar 15th, 2021",$2840,100-000000334 100-100000334WOF,2.6 GHz,up to 3.65 GHz,100 MHz,26.0x,No,200 W,Milan,EPYC  (Zen 3 (Milan)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 128 Lanes (CPU only)",32.0,64.0,2.0,,64 KB (per core),512 KB (per core),128 MB (shared)
6.0,FinanceBench,ms (Average),78723,692,AMD EPYC 7713,2,AMD Socket SP3,TSMC,7 nm,"33,200 million",8x 81 mm²,FCLGA-4094,Server/Workstation,Active,"Mar 15th, 2021",$7060,100-000000344 100-000000344WOF,2000 MHz,up to 3.675 GHz,100 MHz,20.0x,No,225 W,Milan,EPYC  (Zen 3 (Milan)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 128 Lanes (CPU only)",64.0,128.0,2.0,,64 KB (per core),512 KB (per core),256 MB (shared)
3.0,FinanceBench,ms (Average),79310,686,AMD EPYC 7F52,2,AMD Socket SP3,TSMC,7 nm,"3,800 million",74 mm²,FCLGA-4094,Server/Workstation,Active,"Apr 14th, 2020",,100-000000140 100-000000140WOF,3.5 GHz,up to 3.9 GHz,100 MHz,35.0x,No,240 W,Rome,EPYC  (Zen 2 (Rome)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,Gen 4,16.0,32.0,2.0,,96 KB (per core),512 KB (per core),256 MB (shared)
10.0,FinanceBench,ms (Average),80490,1141,AMD EPYC 7763,2,AMD Socket SP3,TSMC,7 nm,"33,200 million",8x 81 mm²,FCLGA-4094,Server/Workstation,Active,"Mar 15th, 2021",$7890,100-000000312 100-000000312WOF,2.45 GHz,up to 3.5 GHz,100 MHz,24.5x,No,280 W,Milan,EPYC  (Zen 3 (Milan)),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 128 Lanes (CPU only)",64.0,128.0,2.0,,64 KB (per core),512 KB (per core),256 MB (shared)
11.0,FinanceBench,ms (Average),80791,3181,AMD Ryzen 5 4500U,1,AMD Socket FP6,TSMC,7 nm,"9,800 million",156 mm²,FC-BGA1140,Mobile,Active,"Jan 6th, 2020",,100-000000084,2.3 GHz,up to 4 GHz,100 MHz,23.0x,No,15 W,Renoir,Ryzen 5  (Zen 2 (Renoir)),"DDR4, LPDDR4",3200 MT/s,Dual-channel,51.2 GB/s,No,"Gen 3, 12 Lanes (CPU only)",6,6,1,Radeon Graphics 384SP,64 KB (per core),512 KB (per core),8 MB (shared)
4.0,FinanceBench,ms (Average),81295,213,Intel Xeon Gold 6248R,2,Intel Socket 4189,Intel,10 nm,,,FC-LGA4189,Server/Workstation,Active,"Apr 6th, 2021",,SRKHP CD8068904572204,2.6 GHz,up to 3.5 GHz,100 MHz,26.0x,No,235 W,Ice Lake-SP,Xeon Gold  (Ice Lake-SP),DDR4,3200 MT/s,Eight-channel,204.8 GB/s,Yes,"Gen 4, 64 Lanes (CPU only)",28.0,56.0,2.0,,64 KB (per core),1 MB (per core),42 MB (shared)
