Model and Mult,Multiplier,Brand,process_size,transistors,frequency,tdp,memory_bandwidth,#_of_cores,year,time,launch_price,market,Generalized Performance
AMD EPYC 7642 x 2,2,AMD,7,3800,2.4,225,204.8,48,2019,12,4775,Server/Workstation,5.41981793257116
AMD EPYC 7643 x 1,1,AMD,7,33200,2.3,225,204.8,48,2021,14,4995,Server/Workstation,5.08813625323427
AMD EPYC 7643 x 2,2,AMD,7,33200,2.3,225,204.8,48,2021,14,4995,Server/Workstation,7.33699628326905
AMD EPYC 7662 x 1,1,AMD,7,33200,,240,204.8,56,2021,14,6366,Server/Workstation,2.51663881291414
AMD EPYC 7663 x 1,1,AMD,7,33200,,240,204.8,56,2021,14,6366,Server/Workstation,4.33277633614876
AMD EPYC 7663 x 2,2,AMD,7,33200,,240,204.8,56,2021,14,6366,Server/Workstation,7.18442669116493
AMD EPYC 7663P x 1,1,AMD,7,33200,,240,204.8,56,2023,16,3139,Server/Workstation,5.39134855240233
AMD EPYC 7702 x 1,1,AMD,7,3800,,200,204.8,64,2019,12,6450,Server/Workstation,3.67412477702652
AMD EPYC 7713 x 1,1,AMD,7,33200,,225,204.8,64,2021,14,7060,Server/Workstation,4.39801101258914
AMD EPYC 7713 x 2,2,AMD,7,33200,,225,204.8,64,2021,14,7060,Server/Workstation,5.68248122887817
AMD EPYC 7713P x 1,1,AMD,7,33200,,225,204.8,64,2021,14,5010,Server/Workstation,4.94525007184593
AMD EPYC 7742 x 1,1,AMD,7,3800,2.25,225,204.8,64,2019,12,6950,Server/Workstation,2.07189237479311
AMD EPYC 7742 x 2,2,AMD,7,3800,2.25,225,204.8,64,2019,12,6950,Server/Workstation,3.63793838111356
AMD EPYC 7763 x 1,1,AMD,7,33200,2.45,280,204.8,64,2021,14,7890,Server/Workstation,5.10094476302226
AMD EPYC 7763 x 2,2,AMD,7,33200,2.45,280,204.8,64,2021,14,7890,Server/Workstation,5.72569832346834
AMD EPYC 7773X x 1,1,AMD,7,33200,2.2,280,204.8,64,2022,15,8800,Server/Workstation,5.56078724115086
AMD EPYC 7773X x 2,2,AMD,7,33200,2.2,280,204.8,64,2022,15,8800,Server/Workstation,6.07803322485367
AMD EPYC 7F32 x 1,1,AMD,7,15200,3.7,180,204.8,8,2020,13,2100,Server/Workstation,1.33266933064929
AMD EPYC 7F32 x 2,2,AMD,7,15200,3.7,180,204.8,8,2020,13,2100,Server/Workstation,-1.1924015886656
AMD EPYC 7F52 x 1,1,AMD,7,3800,3.5,240,204.8,16,2020,13,3100,Server/Workstation,1.40848120487076
AMD EPYC 7F52 x 2,2,AMD,7,3800,3.5,240,204.8,16,2020,13,3100,Server/Workstation,2.62243632616856
AMD EPYC 7F72 x 1,1,AMD,7,3800,3.2,240,204.8,24,2020,13,2450,Server/Workstation,1.69634242601515
AMD EPYC 7F72 x 2,2,AMD,7,3800,3.2,240,204.8,24,2020,13,2450,Server/Workstation,4.06585021318319
AMD EPYC 7K62 x 2,2,AMD,7,15200,3.2,155,204.8,8,2019,12,575,Server/Workstation,7.47362530103313
AMD EPYC 7K83 x 1,1,AMD,14,4800,2.2,170,170.6,16,2017,10,7800,Server/Workstation,1.24660592533561
AMD EPYC 8534P x 1,1,AMD,5,35500,2.3,200,230.4,64,2023,16,4950,Server/Workstation,6.46074056488227
AMD EPYC 8534PN x 1,1,AMD,5,35500,,175,230.4,64,2023,16,5450,Server/Workstation,6.24519497319094
AMD EPYC 9184X x 2,2,AMD,5,90160,3.55,320,460.8,16,2023,16,4928,Server/Workstation,9.80592730461051
AMD EPYC 9374F x 1,1,AMD,5,52560,3.85,320,460.8,32,2022,15,4850,Server/Workstation,6.64030112363554
AMD EPYC 9374F x 2,2,AMD,5,52560,3.85,320,460.8,32,2022,15,4850,Server/Workstation,8.95174907766165
AMD EPYC 9384X x 1,1,AMD,5,90160,3.1,320,460.8,32,2023,16,5529,Server/Workstation,10.0745078792246
AMD EPYC 9384X x 2,2,AMD,5,90160,3.1,320,460.8,32,2023,16,5529,Server/Workstation,10.2625851274192
AMD EPYC 9534 x 2,2,AMD,5,52560,2.45,280,460.8,64,2022,15,8803,Server/Workstation,9.6778684208478
AMD EPYC 9554 x 1,1,AMD,5,52560,3.1,360,460.8,64,2022,15,9087,Server/Workstation,7.95762997629638
AMD EPYC 9554 x 2,2,AMD,5,52560,3.1,360,460.8,64,2022,15,9087,Server/Workstation,8.96612818518982
AMD EPYC 9575F x 1,1,AMD,4,66520,3.3,400,576,64,2024,17,11791,Server/Workstation,9.68554081826894
AMD EPYC 9575F x 2,2,AMD,4,66520,3.3,400,576,64,2024,17,11791,Server/Workstation,10.892843947522
AMD EPYC 9634 x 1,1,AMD,5,78840,2.25,290,460.8,84,2022,15,10304,Server/Workstation,7.7321313294662
AMD EPYC 9634 x 2,2,AMD,5,78840,2.25,290,460.8,84,2022,15,10304,Server/Workstation,9.66909971172112
AMD EPYC 9654 x 1,1,AMD,5,78840,2.4,360,460.8,96,2022,15,11805,Server/Workstation,8.01834476276236
AMD EPYC 9654 x 2,2,AMD,5,78840,2.4,360,460.8,96,2022,15,11805,Server/Workstation,8.79488907262155
AMD EPYC 9655 x 1,1,AMD,4,99780,2.6,400,576,96,2024,17,11852,Server/Workstation,9.77841364022181
AMD EPYC 9655 x 2,2,AMD,4,99780,2.6,400,576,96,2024,17,11852,Server/Workstation,11.0860779104574
AMD EPYC 9655P x 1,1,AMD,4,99780,2.6,400,576,96,2024,17,10811,Server/Workstation,9.85511051370964
AMD EPYC 9684X x 1,1,AMD,5,135240,2.55,400,460.8,96,2023,16,14756,Server/Workstation,8.829120848673
AMD EPYC 9684X x 2,2,AMD,5,135240,2.55,400,460.8,96,2023,16,14756,Server/Workstation,10.5443828423308
AMD EPYC 9754 x 1,1,AMD,5,71000,2.25,360,460.8,128,2023,16,11900,Server/Workstation,8.04739677693804
AMD EPYC 9754 x 2,2,AMD,5,71000,2.25,360,460.8,128,2023,16,11900,Server/Workstation,9.18427643718967
AMD EPYC 9755 x 1,1,AMD,4,133040,2.7,500,576,128,2024,17,12984,Server/Workstation,10.0391419399974
AMD EPYC 9755 x 2,2,AMD,4,133040,2.7,500,576,128,2024,17,12984,Server/Workstation,11.2846934686083
AMD EPYC 9845 x 1,1,AMD,3,,2.1,390,576,160,2024,17,13564,Server/Workstation,8.05805426830897
AMD EPYC 9965 x 1,1,AMD,3,,2.25,500,576,192,2024,17,14813,Server/Workstation,9.67434059514755
AMD EPYC 9965 x 2,2,AMD,3,,2.25,500,576,192,2024,17,14813,Server/Workstation,10.5135199609779
AMD FX-6300 Six-Core x 1,1,AMD,32,1200,3.5,95,29.9,6,2012,5,132,Desktop,-10.8259101935274
AMD FX-8150 Eight-Core x 1,1,AMD,32,1200,3.6,125,,8,2011,4,245,Desktop,-13.5648310152401
AMD FX-8350 Eight-Core x 1,1,AMD,32,1200,4,125,29.9,8,2012,5,199,Desktop,-6.52038438401202
AMD FX-8370 Eight-Core x 1,1,AMD,32,1200,4,125,29.9,8,2014,7,199,Desktop,-8.41159870880888
AMD Phenom 9650 x 1,1,AMD,65,450,2.3,95,,4,2008,1,215,Desktop,-7.07893812357159
AMD Phenom II X3 720 x 1,1,AMD,45,758,2.8,95,21.3,3,2010,3,145,Desktop,-7.47324174253702
AMD RYZEN AI MAX PRO 390 x 1,1,AMD,4,,3.2,55,256,12,2025,18,,Mobile,4.68888651688436
AMD RYZEN AI MAX+ 395 x 1,1,AMD,4,,3,55,256,16,2025,18,,Mobile,6.2654663988843
AMD RYZEN AI MAX+ PRO 395 x 1,1,AMD,4,,3,55,256,16,2025,18,,Mobile,5.98541564980801
AMD Ryzen 3 1300X x 1,1,AMD,14,4800,3.4,65,42.7,4,2017,10,129,Desktop,-3.20132081587511
AMD Ryzen 3 2200G x 1,1,AMD,14,4950,3.5,65,46.9,4,2018,11,99,Desktop,-4.77182247083253
AMD Ryzen 3 3100 x 1,1,AMD,7,3800,3.6,65,51.2,4,2020,13,99,Desktop,-2.35410270395519
AMD Ryzen 3 3200G x 1,1,AMD,12,4940,3.6,65,46.9,4,2019,12,99,Desktop,-6.26836486177278
AMD Ryzen 3 3200U x 1,1,AMD,14,4940,2.6,15,38.4,2,2019,12,,Mobile,-9.20743375879698
AMD Ryzen 3 3300X x 1,1,AMD,7,3800,3.8,65,51.2,4,2020,13,120,Desktop,-2.99144768281254
AMD Ryzen 5 1500X x 1,1,AMD,14,4800,3.5,65,42.7,4,2017,10,189,Desktop,-3.8037834199435
AMD Ryzen 5 1600 Six-Core x 1,1,AMD,6,,2.8,15,88,4,2023,16,,Mobile,-2.62595985078758
AMD Ryzen 5 1600X Six-Core x 1,1,AMD,6,,2.8,15,88,4,2023,16,,Mobile,-2.13208458387531
AMD Ryzen 5 2400G with Radeon Vega x 1,1,AMD,6,,2.8,15,88,4,2023,16,,Mobile,-3.57254747321425
AMD Ryzen 5 2400G x 1,1,AMD,14,4950,3.6,65,46.9,4,2018,11,169,Desktop,-3.59185478052986
AMD Ryzen 5 2600 Six-Core x 1,1,AMD,6,,2.8,15,88,4,2023,16,,Mobile,-3.15153714625488
AMD Ryzen 5 2600X Six-Core x 1,1,AMD,6,,2.8,15,88,4,2023,16,,Mobile,-2.14060575157821
AMD Ryzen 5 3400G x 1,1,AMD,12,4940,3.7,65,46.9,4,2019,12,149,Desktop,-4.75662510431171
AMD Ryzen 5 3500U x 1,1,AMD,12,4940,2.1,15,,4,2019,12,,Mobile,-6.11648742141015
AMD Ryzen 5 3500X x 1,1,AMD,7,3800,3.6,65,51.2,6,2019,12,130,Desktop,-0.825286962723134
AMD Ryzen 5 3600 x 1,1,AMD,7,3800,3.6,65,51.2,6,2019,12,199,Desktop,-1.21860285619508
AMD Ryzen 5 3600X x 1,1,AMD,7,3800,3.8,95,51.2,6,2019,12,249,Desktop,-0.367875720714865
AMD Ryzen 5 3600XT x 1,1,AMD,7,3800,3.8,95,51.2,6,2019,12,249,Desktop,0.431776818657267
AMD Ryzen 5 4500U x 1,1,AMD,7,9800,2.3,15,51.2,6,2020,13,,Mobile,-2.3405889513234
AMD Ryzen 5 5500 x 1,1,AMD,7,10700,3.6,65,51.2,6,2022,15,159,Desktop,0.390247027629076
AMD Ryzen 5 5500U x 1,1,AMD,7,9800,2.1,15,51.2,6,2021,14,,Mobile,-1.13840375403382
AMD Ryzen 5 5560U x 1,1,AMD,7,10700,2.3,15,51.2,6,2021,14,,Mobile,-1.71125207043114
AMD Ryzen 5 5600G x 1,1,AMD,7,10700,3.9,65,51.2,6,2021,14,259,Desktop,-0.312021686288176
AMD Ryzen 5 5600X x 1,1,AMD,7,4150,3.7,65,51.2,6,2020,13,299,Desktop,0.643328978770443
AMD Ryzen 5 7600 x 1,1,AMD,5,6570,3.8,65,83.2,6,2023,16,229,Desktop,2.47672959242754
AMD Ryzen 5 7600X x 1,1,AMD,5,6570,4.7,105,83.2,6,2022,15,299,Desktop,2.59676005847247
AMD Ryzen 5 8400F x 1,1,AMD,4,25000,4.2,65,83.2,6,2024,17,170,Desktop,2.5851952669207
AMD Ryzen 5 8500G x 1,1,AMD,4,20900,3.5,65,83.2,6,2024,17,179,Mobile,3.32753028547116
AMD Ryzen 5 8600G x 1,1,AMD,4,25000,4.3,65,83.2,6,2024,17,229,Desktop,2.22666064762606
AMD Ryzen 5 9600X x 1,1,AMD,4,8315,3.9,65,89.6,6,2024,17,279,Desktop,3.3661574881601
AMD Ryzen 5 PRO 4650G x 1,1,AMD,7,9800,3.7,65,51.2,6,2020,13,209,Desktop,0.154515381516076
AMD Ryzen 5 PRO 6650U x 1,1,AMD,6,,2.9,15,76.8,6,2022,15,,Mobile,-1.0220059914737
AMD Ryzen 7 1700 Eight-Core x 1,1,AMD,14,4800,3,65,42.7,8,2017,10,329,Desktop,-1.21079966126512
AMD Ryzen 7 1700X Eight-Core x 1,1,AMD,14,4800,3.4,95,42.7,8,2017,10,399,Desktop,-2.71262332141606
AMD Ryzen 7 1800X Eight-Core x 1,1,AMD,14,4800,3.6,95,42.7,8,2017,10,499,Desktop,-2.36600447239538
AMD Ryzen 7 2700 Eight-Core x 1,1,AMD,12,4800,3.2,65,46.9,8,2018,11,299,Desktop,-2.31736994527461
AMD Ryzen 7 2700X Eight-Core x 1,1,AMD,12,4800,3.7,105,46.9,8,2018,11,329,Desktop,-1.63013481813711
AMD Ryzen 7 3700X x 1,1,AMD,7,3800,3.6,65,51.2,8,2019,12,329,Desktop,-0.131678116613717
AMD Ryzen 7 3800X x 1,1,AMD,7,3800,3.9,105,51.2,8,2019,12,399,Desktop,-0.0940933792426689
AMD Ryzen 7 3800XT x 1,1,AMD,7,3800,3.8,105,51.2,8,2020,13,399,Desktop,0.4376395132181
AMD Ryzen 7 4700U x 1,1,AMD,7,9800,,15,51.2,8,2020,13,,Mobile,-1.21272116510535
AMD Ryzen 7 4800U x 1,1,AMD,7,9800,,15,51.2,8,2020,13,,Mobile,-4.62265620846361
AMD Ryzen 7 5700G x 1,1,AMD,7,10700,3.8,65,51.2,8,2021,14,359,Desktop,1.33013587784407
AMD Ryzen 7 5700X x 1,1,AMD,7,4150,3.4,65,51.2,8,2022,15,299,Desktop,-0.887618302173746
AMD Ryzen 7 5800H x 1,1,AMD,7,10700,3.2,45,68.3,8,2021,14,,Mobile,0.0492086702473866
AMD Ryzen 7 5800U x 1,1,AMD,7,10700,,15,51.2,8,2021,14,,Mobile,2.19384869819543
AMD Ryzen 7 5800X x 1,1,AMD,7,4150,3.8,105,51.2,8,2020,13,449,Desktop,1.53331712433405
AMD Ryzen 7 5800X3D x 1,1,AMD,7,8850,3.4,105,51.2,8,2022,15,449,Desktop,1.8858412598036
AMD Ryzen 7 7700 x 1,1,AMD,5,6570,3.8,65,83.2,8,2023,16,329,Desktop,2.70001367518747
AMD Ryzen 7 7700X x 1,1,AMD,5,6570,4.5,105,83.2,8,2022,15,399,Desktop,3.19201265762222
AMD Ryzen 7 7735HS x 1,1,AMD,6,,3.2,35,76.8,8,2023,16,,Mobile,-0.00427928242448526
AMD Ryzen 7 7800X3D x 1,1,AMD,5,11270,4.2,120,83.2,8,2023,16,449,Desktop,2.87311232708672
AMD Ryzen 7 7840HS x 1,1,AMD,4,25000,3.8,35,89.6,8,2023,16,,Mobile,2.079752327411
AMD Ryzen 7 7840U x 1,1,AMD,4,25000,3.3,28,89.6,8,2023,16,,Mobile,2.86425626015987
AMD Ryzen 7 8700G x 1,1,AMD,4,25000,4.2,65,83.2,8,2024,17,329,Desktop,3.10519871019348
AMD Ryzen 7 8845HS x 1,1,AMD,4,25000,3.8,45,89.6,8,2023,16,,Mobile,2.64598690704906
AMD Ryzen 7 9700X x 1,1,AMD,4,8315,3.8,65,89.6,8,2024,17,359,Desktop,3.87847150827504
AMD Ryzen 7 9800X3D x 1,1,AMD,4,8315,4.7,120,89.6,8,2024,17,479,Desktop,4.07351481869203
AMD Ryzen 7 PRO 3700 x 1,1,AMD,7,3800,3.6,65,51.2,8,2019,12,329,Desktop,-1.45464713645878
AMD Ryzen 7 PRO 3700U x 1,1,AMD,12,4940,2.3,15,,4,2019,12,,Mobile,-2.01004014222669
AMD Ryzen 7 PRO 4750G x 1,1,AMD,7,9800,3.6,65,51.2,8,2020,13,209,Desktop,-0.35834974622348
AMD Ryzen 7 PRO 5850U x 1,1,AMD,7,10700,,15,51.2,8,2021,14,,Mobile,0.195426656991557
AMD Ryzen 7 PRO 6850U x 1,1,AMD,6,,2.7,15,76.8,8,2022,15,,Mobile,0.804166111851979
AMD Ryzen 7 PRO 7840U x 1,1,AMD,4,25000,3.3,28,89.6,8,2024,17,,Mobile,3.75254128102203
AMD Ryzen 9 3900X x 1,1,AMD,7,7600,3.8,105,51.2,12,2019,12,499,Desktop,1.18272594677235
AMD Ryzen 9 3900XT x 1,1,AMD,7,7600,3.9,105,51.2,12,2020,13,499,Desktop,1.33093668019734
AMD Ryzen 9 3950X x 1,1,AMD,7,7600,3.5,105,51.2,16,2019,12,749,Desktop,1.02919159695496
AMD Ryzen 9 5900HX x 1,1,AMD,7,10700,3.3,45,68.3,8,2021,14,,Mobile,0.526229859120916
AMD Ryzen 9 5900X x 1,1,AMD,7,8300,3.7,105,51.2,12,2020,13,549,Desktop,2.03675106863341
AMD Ryzen 9 5950X x 1,1,AMD,7,8300,3.4,105,51.2,16,2020,13,799,Desktop,2.81665196078381
AMD Ryzen 9 6900HX x 1,1,AMD,6,,3.3,45,76.8,8,2022,15,,Mobile,1.33117139683135
AMD Ryzen 9 7900 x 1,1,AMD,5,13140,3.7,65,83.2,12,2023,16,429,Desktop,3.03553314295534
AMD Ryzen 9 7900X x 1,1,AMD,5,13140,4.7,170,83.2,12,2022,15,549,Desktop,3.46259528289445
AMD Ryzen 9 7900X3D x 1,1,AMD,5,17840,4.4,120,83.2,12,2023,16,599,Desktop,3.37205217651531
AMD Ryzen 9 7950X x 1,1,AMD,5,13140,4.5,170,83.2,16,2022,15,699,Desktop,4.27753605888467
AMD Ryzen 9 7950X3D x 1,1,AMD,5,17840,4.2,120,83.2,16,2023,16,699,Desktop,4.16560500458139
AMD Ryzen 9 9900X x 1,1,AMD,4,16630,4.4,120,89.6,12,2024,17,499,Desktop,4.72987471564709
AMD Ryzen 9 9900X3D x 1,1,AMD,4,16630,4.4,120,89.6,12,2025,18,599,Desktop,5.46342744971686
AMD Ryzen 9 9950X x 1,1,AMD,4,16630,4.3,170,89.6,16,2024,17,649,Desktop,4.79627808652253
AMD Ryzen 9 9950X3D x 1,1,AMD,4,16630,4.3,170,89.6,16,2025,18,699,Desktop,4.97268408905983
AMD Ryzen 9 PRO 3900 x 1,1,AMD,6,,3.3,45,76.8,8,2022,15,,Mobile,-1.01974527355082
AMD Ryzen AI 5 340 x 1,1,AMD,4,,,28,89.6,6,2025,18,,Mobile,2.07324133122128
AMD Ryzen AI 7 PRO 360 x 1,1,AMD,4,,,28,89.6,8,2025,18,,Mobile,0.278263430479102
AMD Ryzen AI 9 365 x 1,1,AMD,4,,,28,89.6,10,2024,17,,Mobile,1.57527264923934
AMD Ryzen AI 9 HX 370 x 1,1,AMD,4,,,28,89.6,12,2024,17,,Mobile,1.92490400572603
AMD Ryzen AI MAX+ PRO 395 x 1,1,AMD,4,,3,55,256,16,2025,18,,Mobile,4.9977014076472
AMD Ryzen Threadripper 1900X x 1,1,AMD,14,9600,3.8,180,85.3,8,2017,10,549,Desktop,-1.90306934433914
AMD Ryzen Threadripper 1950X x 1,1,AMD,14,9600,3.4,180,85.3,16,2017,10,999,Desktop,-0.585173165074322
AMD Ryzen Threadripper 2920X x 1,1,AMD,12,9600,3.5,180,93.9,12,2018,11,649,Desktop,-0.349278198245118
